appellationlibelle,codeNAF,competences,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceExige,experienceLibelle,formations,id,intitule,lieuTravail,natureContrat,nombrePostes,offresManqueCandidats,origineOffre,qualificationCode,qualificationLibelle,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,typeContrat,typeContratLibelle
Façadier / Façadière,43.29A,,{},2023-10-11T10:04:53.000Z,2023-10-11T10:04:53.000Z,4,Quotidiens Zone départementale,"Nous recherchons plusieurs façadier(e)s pour compléter nos équipes.

Pose d'isolation thermique par l'extérieur. 
Pose de sous enduit et d'enduit de finition à la taloche. 
Peinture extérieure et divers travaux en rapport avec le métier de poseur d'isolation thermique par l'extérieur : 
Ravalement de façade

Travail en hauteur sur échafaudage
Travail sur divers chantiers avec des déplacements organisés par l'entreprise

avantages:
prime panier
indemnités de trajet ou frais de transport
participation aux bénéfices",35H Travail en journée,Temps plein,"{'nom': 'I P F', 'entrepriseAdaptee': False}",E,4 mois,,163BTQS,Façadier (H/F),73 - GRESY SUR AIX,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQS'}",3,"Ouvrier qualifié (P1,P2)",F1611,Réalisation et restauration de façades,"Horaire de 11,52 Euros à 13 Euros sur 12 mois",43,Travaux d'isolation,CDD,Contrat à durée déterminée - 12 Mois
Vendeur / Vendeuse en prêt-à-porter,47.71Z,"Procédures d'encaissement, Techniques de mise en rayon, Présenter et valoriser un produit ou un service","{'nom': 'MANGO - Mme VIRGINIE LEOS', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQQ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQQ'}",2023-10-11T10:04:49.000Z,2023-10-11T10:04:48.000Z,,,"Nous recherchons pour notre enseigne Mango à Roncq un(e) Conseiller(ère) de Vente. 

Rattaché(e) au Responsable du Magasin, votre objectif sera de vendre les produits et services de la marque, tout en vous assurant de la bonne tenue du magasin et de l'accueil des clients. 

Descriptif du poste :

- Au sein de votre équipe, vous mettrez en pratique vos connaissances produits afin de donner les meilleurs conseils aux clients et de les fidéliser, 
- Vous assurerez les ventes et l'encaissement,
- Vous participerez à la bonne gestion du magasin à travers un réassort quotidien des rayons, 
- Vous réaliserez la vitrine et l'implantation des produits dans le respect des règles de merchandising de l'enseigne, 
- Vous participerez à la réalisation du chiffre d'affaire du magasin à l'aide des différents indicateurs de vente.",30H Travail en journée,Temps partiel,"{'nom': 'MANGO', 'description': 'MANGO Promenade de Flandres', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTQQ,Vendeur / Vendeuse en prêt-à-porter         (H/F),59 - RONCQ,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQQ'}",6,Employé qualifié,D1214,Vente en habillement et accessoires de la personne,"Horaire de 11,52 Euros sur 12 mois",47,Commerce de détail d'habillement en magasin spécialisé,CDI,Contrat à durée indéterminée
Employé polyvalent / Employée polyvalente de restauration,56.10C,"Entretenir un équipement, une machine, une installation, Entretenir, nettoyer un espace, un lieu, un local","{'nom': 'PIZZA COSY - M. DENIS DUFOURNEL', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQP', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQP'}",2023-10-11T10:04:48.000Z,2023-10-11T10:04:47.000Z,1,Jamais,"Dans le cadre du développement de notre succursale de GRENOBLE, nous recherchons un(e) employé(e) polyvalent(e) de restauration.

Détail du poste de travail, sous la responsabilité du responsable de la pizzeria, 

LIVRAISON :

- Livrer les commandes des clients à leur domicile et réaliser les encaissements tout en assurant un service de qualité (Sourire, formules de politesse, respect des exigences du client ) 
- Respecter les délais et le code de la route.

CHOUCHOUTER NOS CLIENTS !

- Accueillir et recommander le client lors de sa prise de commande 
- Fidéliser la clientèle 
- Assurer la qualité du service en orientant la prise de commande (respect des délais de livraison à domicile, de service à table et de vente à emporter) 
- Assurer le service du client qu'il soit sur place ou à emporter 
- Être ambassadeur de la marque Pizza Cosy

SUBLIME NOS PRODUITS FRAIS !

- Assurer la préparation des différents produits de la carte 
- Assurer la préparation des ingrédients qui composent les recettes 
- Approvisionner et gèrer le stock de marchandises 
- Réceptionner, contrôler, ordonner la réserve et assurer la conservation des produits selon les règles d'hygiène et de traçabilité

TOUT CE QUI BRILLE !

- Assurer la propreté des véhicules 
- Assurer la propreté de la totalité du point de vente

CONTRAT : CDI TEMPS DE TRAVAIL HEBDOMADAIRE A TEMPS PLEIN

EXPERIENCE EN RESTAURATION REQUISE !

Retrouvez toutes nos offres d'emploi à partir du lien ci après : https://www.welcometothejungle.com/fr/companies/pizza-cosy",35H Travail en journée,Temps plein,"{'nom': 'PIZZA COSY', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTQP,Employé(e)  polyvalent de restauration H/F - 35H GRENOBLE (H/F),38 - GRENOBLE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQP'}",5,Employé non qualifié,G1603,Personnel polyvalent en restauration,,56,Restauration de type rapide,CDI,Contrat à durée indéterminée
Monteur / Monteuse en faux-plafonds,78.20Z,"Réaliser et fixer des huisseries, encadrements et montants, Fixer l'ossature d'un agencement, Poser des plafonds suspendus, Monter des cloisons ou faux-plafonds, Réaliser, poser des revêtements","{'nom': 'CELEST - Mme Lucie WAGER', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQM', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQM'}",2023-10-11T10:04:46.000Z,2023-10-11T10:04:44.000Z,,,"La société CELEST à Saint-Saulve, recherche pour l'un de ses clients, un monteur de faux-plafonds, pour une mission de 1 mois renouvelable, sur le secteur de Valenciennes.

En tant que monteur de faux-plafonds vous serez en charge de :

  -  Faire le découpage.
  -  Assemblage et pose et dépose des faux plafonds.
  -  Diverses manutention.



De formation CAP/BEP de Plaquiste ou dans le bâtiment, vous justifiez d'une première expérience sur un poste similaire


Vous êtes soigneux, dynamique et motivé.",35H Travail en journée,Temps plein,"{'nom': 'CELEST', 'description': '« Entreprise de travail temporaire indépendante et familiale à votre service, depuis 30 ans, en industrie, logistique, bâtiment, tertiaire ... »', 'url': 'https://www.celest-interim.fr/', 'entrepriseAdaptee': False}",E,1 an,"CAP, BEP et équivalents",163BTQM,Monteur / Monteuse en faux-plafonds,59 - VALENCIENNES,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQM'}",2,Ouvrier spécialisé,F1604,Montage d'agencements,"Horaire de 11,52 Euros à 12,00 Euros",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 1 Mois
Coordonnateur(trice) sécurité protect santé en ind,20.59Z,,"{'coordonnees1': 'https://taleez.com/apply/coordinateur-trice-sse-et-risques-industriels-h-f-chasse-sur-rhone-condat-cdi/applying', 'urlPostulation': 'https://taleez.com/apply/coordinateur-trice-sse-et-risques-industriels-h-f-chasse-sur-rhone-condat-cdi/applying'}",2023-10-11T10:04:45.000Z,2023-10-11T10:04:43.000Z,,,"Rattaché(e) au responsable SSE Groupe, vous intégrez l'équipe SSE de notre principal site chimique de production et siège du Groupe, regroupant 300 personnes. Votre mission est de participer activement au développement de notre maîtrise et de notre culture SSE, notamment sur les risques industriels. Vous serez principalement en lien avec les équipes techniques (responsable de projets travaux neufs, maintenance, industrialisation) et les équipes de production/logistique/laboratoires.

Principales missions :

 * Evaluer les risques procédés et industriels : analyses ATEX, sécurité des procédés, étude de dangers, risque incendie, etc.
 * Accompagner sur le terrain la montée en compétences des donneurs d'ordre et exploitants, dans le pilotage des risques liés aux travaux.
 * Coordonner notre démarche de gestion de crise et POI
 * Amener l'expertise SSE nécessaire aux études de conception/modification des installations
 * Assurer un rôle de conseil et vérification terrain dans l'application des standards.
 * Assurer le lien avec les équipes techniques pour garantir le bon fonctionnement des installations de détection/maîtrise du risque incendie, contrôle d'accès et vidéosurveillance.

En complément :

 * Animer des analyses accidents/incidents sécurité et/ou environnement
 * Participer au déploiement de notre système de management et de notre culture SSE
 * Participer à la veille et analyse réglementaire
 * Participer aux missions opérationnelles du service (pilotage de la sûreté/gardiennage, astreinte environ 5x/an, etc.)
Issu d'une formation de maîtrise des risques, HSE, génie chimique ou génie des procédés, Bac +3 à Bac+5,

Vous disposez d'au moins 5 ans d'expérience dans le domaine SSE et/ou sécurité des procédés sur site chimique industriel.

Dans un environnement en perpétuel évolution et avec des missions très variées, votre curiosité et votre capacité à apprendre seront des atouts.

Au-delà de vos compétences en maîtrise des risques, vous avez un sens prononcé pour le terrain et le travail transversal en équipe.",35H Travail en journée,Temps plein,"{'nom': 'CONDAT SA', 'entrepriseAdaptee': False}",E,5 ans,,163BTQL,Coordinateur(trice) SSE et risques industriels - H/F (H/F),38 - CHASSE SUR RHONE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQL'}",9,Cadre,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels,"Annuel de 35000,00 Euros à 45000,00 Euros sur 13 mois",20,Fabrication d'autres produits chimiques n.c.a.,CDI,Contrat à durée indéterminée
Responsable adjoint(e) de magasin de grande distribution,70.10Z,"Règles d'hygiène et de sécurité, Superviser la gestion d'une entité commerciale, Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Animer, coordonner une équipe",{},2023-10-11T10:04:44.000Z,2023-10-11T10:04:41.000Z,,,"VOS MISSIONS :

Rattaché(e) au Responsable de magasin, vous êtes garant de la bonne application du concept commercial et de la satisfaction clientèle. 
Vous êtes un soutien dans la gestion administrative du magasin (planning, caisse, inventaire) et du management de l'équipe.

En binôme avec le responsable magasin, vos missions consistent à :
-	Fédérer et transmettre les bonnes pratiques afin de faire monter en compétences votre équipe
-	Gérer les prix de vente en fonction des directives définies par la Direction.
-	Participer à la gestion optimale des produits : gestion du stock et des commandes, contrôle des DLC, etc.
-	Veiller au bon respect de l'implantation des marchandises, et participer à la mise en rayon.
-	Assurer la bonne gestion des flux monétiques.
-	Participer à la gestion administrative.
-	Préparer les inventaires.
-	Assurer une qualité d'accueil irréprochable en veillant à la bonne tenue de l'ensemble du magasin (intérieur et extérieur).


VOTRE PROFIL :

Vous disposez idéalement d'un BAC+2 et d'une première expérience significative dans le domaine du commerce ou de la restauration.
Manager de proximité, vous êtes un(e) bon(ne) gestionnaire et avez l'âme de commerçant.
Votre polyvalence est votre force et vous permet de gérer les priorités.",36H45 Travail en journée,Temps plein,"{'nom': 'NORMA SARL', 'entrepriseAdaptee': False}",E,2 ans,Bac+2 ou équivalents,163BTQK,Responsable adjoint(e) de magasin de grande distribution    (H/F),67 - GUNDERSHOFFEN,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQK'}",8,Agent de maîtrise,D1504,Direction de magasin de grande distribution,,70,Activités des sièges sociaux,CDI,Contrat à durée indéterminée
Agent / Agente de comptoir en vente de voyages,47.11F,"Contrôler la conformité des données ou des documents, Accueillir, orienter, informer une personne, Vendre ou louer des produits ou des services","{'nom': 'SOCIETE DE DISTRIBUTION CATALANE - Mme MARJORIE JANIN', 'coordonnees1': 'https://www.recrutement.leclerc/les-offres', 'urlPostulation': 'https://www.recrutement.leclerc/les-offres'}",2023-10-11T10:05:22.000Z,2023-10-11T10:04:41.000Z,,,"attaché(e) au responsable d'agence, vous aurez pour mission d'assurer la vente des produits auprès de nos clients.
- Accueillir le client et le renseigner sur les offres touristiques.
- Conseiller le client sur les différents produits, effectuer la vente, la réservation et établir les documents......
- Réceptionner, vérifier les documents de voyage (dates, prestations et factures)
- Relancer les clients pour tenir à jour le fichier client, s'assurer du règlement des clients dans les delais",35H Travail le samedi,Temps plein,"{'nom': 'SOCIETE DE DISTRIBUTION CATALANE', 'entrepriseAdaptee': False}",E,2 ans - agent de voyage,Bac+2 ou équivalents,163BTQH,agent de voyage (H/F),66 - PERPIGNAN,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQH'}",6,Employé qualifié,G1303,Vente de voyages,"Mensuel de 1748,00 Euros à 2000,00 Euros sur 12 mois",47,Hypermarchés,CDD,Contrat à durée déterminée - 2 Mois
Chauffeur-livreur / Chauffeuse-livreuse,49.41B,"Méthodes de plan de tournée, Vérifier l'exactitude et la conformité de documents de transport de marchandises, Définir un itinéraire en fonction des consignes de livraison, Livrer une commande, Charger, décharger, manutentionner des produits","{'nom': 'Pôle Emploi Ermont', 'coordonnees1': '90 RUE RAOUL DAUTRY', 'coordonnees2': '95120 ERMONT', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQF'}",2023-10-11T10:04:37.000Z,2023-10-11T10:04:37.000Z,4,Quotidiens Zone départementale,"Notre entreprise de livraison de colis léger recherche des chauffeurs livreurs pour développer son activité.
Nous livrons sur tout le département du 95 et du 78.
Nous recherchons des personnes motivées, consciencieuses et respectueuses des consignes.
Les livraisons ont lieu 7/7, les jours travaillés sont à déterminés avec le responsable en fonction des besoins.
Le permis B et un véhicule de type léger sont impératifs afin de vous rendre à l'entrepôt qui se trouve à Saint-Ouen-l'Aumône (lieu mal desservi).",35H Travail en journée,Temps plein,"{'nom': 'LIFE TRANSPORT', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTQF,Chauffeur-livreur / Chauffeuse-livreuse,95 - EAUBONNE,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQF'}",1,Manœuvre,N4105,Conduite et livraison par tournées sur courte distance,Mensuel de 1750 Euros sur 12 mois,49,Transports routiers de fret de proximité,CDD,Contrat à durée déterminée - 6 Mois
Conducteur(trice) ligne production/fabrication indus aliment,10.89Z,"Traçabilité des produits, Procédures de nettoyage et de désinfection, Règles d'hygiène et de sécurité alimentaire, Règles et consignes de sécurité, Produits alimentaires, Normes qualité, Techniques de réglage de lignes de conditionnement, Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits, Vérifier le fonctionnement des installations et des équipements (arche de recuisson, presse, feeders, étireuse, ...), Surveiller ou réguler une installation de conditionnement, palettisation, étiquetage, Réaliser des tests de contrôle de fraîcheur des aliments, des préparations et prélever des échantillons pour le service d'hygiène, Définir les données de programmation, Contrôler le conditionnement d'un produit, Monter et régler une installation, une machine, Contrôler la conformité d'un équipement, d'une machine, d'une installation, Entretenir, nettoyer un espace, un lieu, un local","{'nom': 'SAI NUTRITION OU SAI CHIMIE - Mme MYRIAM BORD', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQC', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQC'}",2023-10-11T10:04:33.000Z,2023-10-11T10:04:32.000Z,1,Jamais,"1/ Conditionnement : 
-	Conditionner des produits au moyen d'une machine automatisée d'emballage ou d'embouteillage ou autre en respectant les ordres de 
        conditionnement et les consignes de production (délais, quantités, qualité). 
-	Trier, nettoyer, étiqueter et regrouper les produits conditionnés selon le cahier des charges (type de cartons, palettisation.).
-	Réaliser les nettoyages de la machine lors de changements de produits.
-	Effectuer les petits réglages sur la machine.
2/ Biscuiterie : 
-	Après fabrication de la pâte, façonner manuellement ou semi manuellement le mélange,
-	Effectuer la manutention des plateaux et chariots.
3/ Pesée / mélange (en fonction du planning) : 
-	Charger les matières premières préalablement pesées et/ou préparées, dans le mélangeur (moulin à billes) ;
-	Respecter les temps et conditions de mélanges apparaissant sur les ordres de fabrication ou en vigueur par type de produit et mélangeurs en vigueur dans l'entreprise.
4/ Chocolat : 
-	Effectuer le « tempérage » indiqué du chocolat, le moulage (automatique ou manuel) et le démoulage ou le nappage (selon procédures en place) ;  
-	Effectuer le raffinage du chocolat :
o	Identifier le produit à l'aide des documents fournis.
o	Contrôler la conformité de la préparation en cours de fabrication (fluidité, texture, ) et identifier les anomalies éventuelles.

Pour l'ensemble des ateliers :
-	Respecter les bonnes pratiques de fabrication :
o	Les règles d'hygiène : port de la charlotte et de la blouse obligatoire, voire du masque ou de gants si besoin (préparation de produits liquides par exemple) ; 
o	Les règles de sécurité : port de l'équipement adéquat (chaussures de sécurité et protections auditives obligatoires, absence de port de bijoux) ; respect des consignes de sécurité liées à l'utilisation de la machine. 
-	Evacuer les rebuts ou déchets de production et nettoyer les machines, équipements, contenants, ainsi que les locaux de fabrication et les zones de circulation. 
Alerter immédiatement le responsable hiérarchique en cas de difficulté ou de non-conformité",37H40 Travail en journée,Temps plein,"{'nom': 'SAI NUTRITION OU SAI CHIMIE', 'description': ""SAI Nutrition propose depuis 2001 des produits diététiques hyperprotéïnés et hypocaloriques : formulation, mélange, conditionnement dans le respect du cahier des charges de ses clients qui commercialisent les produits sous leur propre marque. C'est une entreprise à taille humaine au service de ses clients, un esprit innovant, des compétences et un savoir-faire reconnus."", 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTQC,Opérateur polyvalent fabrication et conditionnement (H/F),13 - GARDANNE,Contrat travail,2,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQC'}",2,Ouvrier spécialisé,H2102,Conduite d'équipement de production alimentaire,"Mensuel de 1886,00 Euros à 2000,00 Euros sur 12 mois",10,Fabrication d'autres produits alimentaires n.c.a.,CDI,Contrat à durée indéterminée
Serveur / Serveuse de restaurant,55.10Z,"Accueillir le client et l'installer, Effectuer le service des plats à table, Réaliser la mise en place de la salle et de l'office","{'nom': 'Stand First Name/Forum ORQ - Mme First Name', 'coordonnees2': '14 RUE CLAUDE BONNIER', 'coordonnees3': '33000 BORDEAUX'}",2023-10-11T10:04:31.000Z,2023-10-11T10:04:31.000Z,,,"FirstName BORDEAUX

Un Bâtiment emblématique du quartier réhabilité

Un Bar à manger avec terrasse

147 chambres

Deux salles de fitness

Deux salles de réunion/ salles de jeux

Deux lieux événementiels en rooftop.

Promis, nous vous en dirons plus lors d'une rencontre.

Vous êtes à la recherche d'extras en restauration, en cuisine ou au Bar.

La Marque FirstName fait écho à vos valeurs, notre vision de l'hôtellerie vous touche en plein cœur hôtelier😂.

Venez nous rencontrer au forum ORQ à l'hôtel First Name Jeudi 19 Octobre de 14h30 à 17h30.
Inscription sur le lien :  https://mesevenementsemploi.pole-emploi.fr/mes-evenements-emploi/evenement/171123",39H Travail en journée,Temps plein,"{'nom': 'Stand First Name/Forum ORQ', 'description': 'Forum On Recrute Dans Nos Quartiers\nJeudi 19 Octobre \n14h30/17h30\nInscription sur le lien', 'url': 'https://mesevenementsemploi.pole-emploi.fr/mes-evenements-emploi/evenement/171123', 'entrepriseAdaptee': False}",E,1 an,,163BTQB,Serveur Extra/ Forum ORQ Bordeaux Mériadeck,33 - BORDEAUX,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQB'}",6,Employé qualifié,G1803,Service en restauration,,55,Hôtels et hébergement similaire,CDI,Contrat à durée indéterminée
Pâtissier / Pâtissière,10.71C,"Caractéristiques des farines levure, additifs, Préparer des aliments, Doser des ingrédients culinaires, Effectuer le montage et la décoration des produits pâtissiers, Entretenir, nettoyer un espace, un lieu, un local","{'nom': 'LE COMPTOIR DES PAINS - Mme Cindy Bourdache', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTPZ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTPZ'}",2023-10-11T10:04:30.000Z,2023-10-11T10:04:30.000Z,,,"Le Comptoir des Pains recherche un(e) Pâtissier(ère).

Votre mission sera de préparer et de confectionner des produits de pâtisserie selon les règles d'hygiène et de sécurité alimentaires.

Vous travaillez un dimanche sur 2., une semaine à 32h, une autre à 39h. 
Horaires de travail : 6h00/12h00
L'établissement est fermé le lundi.",35H Travail le week-end,Temps plein,"{'nom': 'LE COMPTOIR DES PAINS', 'description': 'Pour postuler présentez-vous directement au magasin avec un CV \nou\nenvoyez votre candidature par mail : cindy9458@live.fr', 'entrepriseAdaptee': False}",D,Débutant accepté,"CAP, BEP et équivalents",163BTPZ,Pâtissier / Pâtissière,29 - PLOUENAN,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTPZ'}",3,"Ouvrier qualifié (P1,P2)",D1104,"Pâtisserie, confiserie, chocolaterie et glacerie",,10,Boulangerie et boulangerie-pâtisserie,CDI,Contrat à durée indéterminée
